Year,Center_Name,Pathogen,Antibiotic,Total_Isolates,Resistant_Isolates,Resistance_Percentage
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Amikacin,669,340,50.9
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Colistin,669,26,3.9
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Penicillin,727,251,34.7
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Ciprofloxacin,727,274,37.8
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Erythromycin,727,334,46.0
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Clindamycin,727,260,35.9
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Vancomycin,727,261,36.0
2022,"Tata Memorial Hospital, Mumbai",Staphylococcus aureus,Linezolid,727,266,36.7
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Imipenem,444,206,46.5
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Meropenem,444,209,47.3
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Ceftriaxone,444,295,66.6
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Ciprofloxacin,444,206,46.5
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Amikacin,444,242,54.5
2022,"Tata Memorial Hospital, Mumbai",Acinetobacter baumannii,Colistin,444,23,5.2
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Imipenem,953,167,17.6
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Meropenem,953,163,17.1
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Ceftriaxone,953,241,25.4
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Ciprofloxacin,953,157,16.5
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Amikacin,953,131,13.8
2022,"Tata Memorial Hospital, Mumbai",Pseudomonas aeruginosa,Colistin,953,16,1.8
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Imipenem,797,152,19.1
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Meropenem,797,127,16.1
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Ceftriaxone,797,187,23.5
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Ciprofloxacin,797,132,16.6
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Amikacin,797,128,16.2
2022,"Kaling Institute, Bhubaneswar",Escherichia coli,Colistin,797,12,1.6
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Imipenem,800,375,46.9
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Meropenem,800,333,41.7
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Ceftriaxone,800,442,55.3
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Ciprofloxacin,800,376,47.1
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Amikacin,800,304,38.0
2022,"Kaling Institute, Bhubaneswar",Klebsiella pneumoniae,Colistin,800,34,4.3
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Penicillin,640,203,31.7
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Ciprofloxacin,640,241,37.8
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Erythromycin,640,226,35.4
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Clindamycin,640,214,33.5
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Vancomycin,640,231,36.2
2022,"Kaling Institute, Bhubaneswar",Staphylococcus aureus,Linezolid,640,220,34.5
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Imipenem,522,206,39.6
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Meropenem,522,263,50.4
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Ceftriaxone,522,357,68.5
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Ciprofloxacin,522,238,45.6
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Amikacin,522,243,46.6
2022,"Kaling Institute, Bhubaneswar",Acinetobacter baumannii,Colistin,522,19,3.7
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Imipenem,447,76,17.0
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Meropenem,447,86,19.4
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Ceftriaxone,447,120,26.9
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Ciprofloxacin,447,84,18.9
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Amikacin,447,77,17.3
2022,"Kaling Institute, Bhubaneswar",Pseudomonas aeruginosa,Colistin,447,8,1.9
2022,"Amrita Institute, Kochi",Escherichia coli,Imipenem,169,30,17.8
2022,"Amrita Institute, Kochi",Escherichia coli,Meropenem,169,28,17.1
2022,"Amrita Institute, Kochi",Escherichia coli,Ceftriaxone,169,52,31.3
2022,"Amrita Institute, Kochi",Escherichia coli,Ciprofloxacin,169,29,17.2
2022,"Amrita Institute, Kochi",Escherichia coli,Amikacin,169,28,16.7
2022,"Amrita Institute, Kochi",Escherichia coli,Colistin,169,2,1.7
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Imipenem,67,35,53.0
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Meropenem,67,28,42.0
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Ceftriaxone,67,38,57.0
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Ciprofloxacin,67,29,43.5
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Amikacin,67,30,45.8
2022,"Amrita Institute, Kochi",Klebsiella pneumoniae,Colistin,67,3,4.8
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Penicillin,139,46,33.2
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Ciprofloxacin,139,59,42.9
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Erythromycin,139,44,31.7
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Clindamycin,139,51,36.8
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Vancomycin,139,48,34.8
2022,"Amrita Institute, Kochi",Staphylococcus aureus,Linezolid,139,45,33.1
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Imipenem,69,30,43.7
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Meropenem,69,29,42.3
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Ceftriaxone,69,44,63.8
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Ciprofloxacin,69,34,49.9
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Amikacin,69,37,54.5
2022,"Amrita Institute, Kochi",Acinetobacter baumannii,Colistin,69,2,4.3
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Imipenem,62,11,18.0
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Meropenem,62,12,19.4
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Ceftriaxone,62,19,32.2
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Ciprofloxacin,62,11,18.7
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Amikacin,62,11,19.0
2022,"Amrita Institute, Kochi",Pseudomonas aeruginosa,Colistin,62,1,1.8
2022,"Sams Hospital, Hyderabad",Escherichia coli,Imipenem,302,57,19.2
2022,"Sams Hospital, Hyderabad",Escherichia coli,Meropenem,302,55,18.2
2022,"Sams Hospital, Hyderabad",Escherichia coli,Ceftriaxone,302,66,21.9
2022,"Sams Hospital, Hyderabad",Escherichia coli,Ciprofloxacin,302,61,20.3
2022,"Sams Hospital, Hyderabad",Escherichia coli,Amikacin,302,51,16.9
2022,"Sams Hospital, Hyderabad",Escherichia coli,Colistin,302,6,2.2
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Imipenem,739,327,44.3
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Meropenem,739,352,47.6
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Ceftriaxone,739,512,69.4
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Ciprofloxacin,739,311,42.2
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Amikacin,739,325,44.1
2022,"Sams Hospital, Hyderabad",Klebsiella pneumoniae,Colistin,739,31,4.3
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Penicillin,991,334,33.8
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Ciprofloxacin,991,344,34.7
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Erythromycin,991,390,39.4
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Clindamycin,991,408,41.2
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Vancomycin,991,369,37.3
2022,"Sams Hospital, Hyderabad",Staphylococcus aureus,Linezolid,991,377,38.1
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Imipenem,956,394,41.3
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Meropenem,956,406,42.5
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Ceftriaxone,956,693,72.5
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Ciprofloxacin,956,456,47.7
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Amikacin,956,429,44.9
2022,"Sams Hospital, Hyderabad",Acinetobacter baumannii,Colistin,956,43,4.6
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Imipenem,593,99,16.8
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Meropenem,593,119,20.1
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Ceftriaxone,593,184,31.2
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Ciprofloxacin,593,102,17.2
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Amikacin,593,102,17.3
2022,"Sams Hospital, Hyderabad",Pseudomonas aeruginosa,Colistin,593,10,1.8
2022,"King George Medical Univ, Lucknow",Escherichia coli,Imipenem,467,84,18.1
2022,"King George Medical Univ, Lucknow",Escherichia coli,Meropenem,467,111,23.8
2022,"King George Medical Univ, Lucknow",Escherichia coli,Ceftriaxone,467,158,33.9
2022,"King George Medical Univ, Lucknow",Escherichia coli,Ciprofloxacin,467,108,23.3
2022,"King George Medical Univ, Lucknow",Escherichia coli,Amikacin,467,107,23.0
2022,"King George Medical Univ, Lucknow",Escherichia coli,Colistin,467,12,2.6
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Imipenem,695,408,58.8
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Meropenem,695,501,72.1
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Ceftriaxone,695,572,82.3
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Ciprofloxacin,695,416,59.9
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Amikacin,695,425,61.2
2022,"King George Medical Univ, Lucknow",Klebsiella pneumoniae,Colistin,695,38,5.5
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Penicillin,477,221,46.4
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Ciprofloxacin,477,234,49.2
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Erythromycin,477,236,49.6
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Clindamycin,477,267,56.0
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Vancomycin,477,249,52.3
2022,"King George Medical Univ, Lucknow",Staphylococcus aureus,Linezolid,477,240,50.4
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Imipenem,646,377,58.4
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Meropenem,646,433,67.1
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Ceftriaxone,646,552,85.5
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Ciprofloxacin,646,335,51.9
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Amikacin,646,326,50.5
2022,"King George Medical Univ, Lucknow",Acinetobacter baumannii,Colistin,646,39,6.0
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Imipenem,492,121,24.7
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Meropenem,492,115,23.6
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Ceftriaxone,492,146,29.7
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Ciprofloxacin,492,130,26.6
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Amikacin,492,116,23.6
2022,"King George Medical Univ, Lucknow",Pseudomonas aeruginosa,Colistin,492,14,2.8
2022,"IPGMER, Kolkata",Escherichia coli,Imipenem,531,88,16.6
2022,"IPGMER, Kolkata",Escherichia coli,Meropenem,531,84,15.9
2022,"IPGMER, Kolkata",Escherichia coli,Ceftriaxone,531,120,22.7
2022,"IPGMER, Kolkata",Escherichia coli,Ciprofloxacin,531,91,17.2
2022,"IPGMER, Kolkata",Escherichia coli,Amikacin,531,109,20.6
2022,"IPGMER, Kolkata",Escherichia coli,Colistin,531,7,1.5
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Imipenem,549,263,47.9
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Meropenem,549,260,47.4
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Ceftriaxone,549,401,73.2
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Ciprofloxacin,549,275,50.1
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Amikacin,549,233,42.6
2022,"IPGMER, Kolkata",Klebsiella pneumoniae,Colistin,549,21,3.9
2022,"IPGMER, Kolkata",Staphylococcus aureus,Penicillin,414,149,36.2
